,ID,Sex,DR,Use,RecDate,BirthDate,Ht,Race,Edu,age,height
0,ABC0,M,6,TRN,03/03/86,06/17/60,"5'11""",WHT,BS,25.71,180.34
1,ABW0,M,2,TST,04/21/86,05/26/59,"5'9""",WHT,BS,26.9,175.26
2,ADC0,M,3,TRN,02/25/86,04/27/54,"5'9""",WHT,HS,31.83,175.26
3,ADD0,M,7,TRN,01/28/86,03/23/58,"6'2""",WHT,BS,27.85,187.96
4,ADG0,F,4,TST,02/12/86,04/11/59,"5'4""",WHT,MS,26.84,162.56
5,AEB0,M,4,TRN,04/10/86,09/20/37,"5'11""",WHT,HS,48.55,180.34
6,AEM0,F,2,TRN,02/27/86,05/13/60,"5'3""",WHT,BS,25.79,160.02
7,AEO0,M,7,TRN,02/20/86,07/19/55,"5'11""",WHT,BS,30.59,180.34
8,AFM0,M,7,TRN,03/31/86,12/22/52,"5'08""",WHT,BS,33.27,172.72
9,AHH0,M,5,TST,02/14/86,02/22/53,"5'10""",BLK,BS,32.98,177.8
10,AJC0,M,8,TST,03/11/86,12/25/58,"6'00""",WHT,BS,27.21,182.88
11,AJP0,M,6,TRN,05/06/86,08/23/63,"5'11""",WHT,BS,22.7,180.34
12,AJW0,F,2,TRN,02/11/86,03/31/58,"5'8""",WHT,HS,27.87,172.72
13,AKB0,M,3,TRN,04/16/86,09/18/51,"6'0""",WHT,MS,34.58,182.88
14,AKR0,M,3,TRN,02/24/86,04/09/63,"6'0""",WHT,MS,22.88,182.88
15,AKS0,F,1,TST,04/01/86,12/05/57,"5'04""",WHT,PHD,28.32,162.56
16,ALK0,F,3,TRN,01/28/86,07/23/38,"5'6""",WHT,HS,47.52,167.64
17,ALR0,F,4,TRN,02/20/86,06/05/62,"5'4""",WHT,BS,23.71,162.56
18,APB0,F,6,TRN,04/30/86,09/18/45,"5'5""",WHT,HS,40.61,165.1
19,APV0,M,3,TRN,02/13/86,03/26/48,"5'10""",WHT,MS,37.89,177.8
20,ARC0,M,2,TRN,01/30/86,12/03/57,"5'9""",WHT,MS,28.16,175.26
21,ARW0,M,4,TRN,02/12/86,11/05/60,"5'10""",WHT,BS,25.27,177.8
22,ASW0,F,5,TST,03/26/86,01/06/31,"5'06""",WHT,??,55.22,167.64
23,AWF0,F,5,TST,04/14/86,12/19/58,"5'7""",WHT,BS,27.32,170.18
24,BAR0,M,7,TRN,02/19/86,07/18/62,"6'1""",WHT,BS,23.59,185.42
25,BAS0,F,4,TRN,02/26/86,09/04/33,"5'5""",WHT,BS,52.48,165.1
26,BBR0,M,7,TRN,04/29/86,08/18/57,"5'8""",WHT,BS,28.7,172.72
27,BCG0,M,8,TRN,04/02/86,08/11/59,"5'8""",WHT,BS,26.64,172.72
28,BCG1,F,8,TRN,04/09/86,02/23/59,"4'9""",???,BS,27.13,144.78
29,BCH0,F,6,TRN,04/02/86,07/08/59,"5'06""",WHT,BS,26.73,167.64
30,BDG0,M,3,TST,03/11/86,04/30/58,"5'11""",WHT,MS,27.86,180.34
31,BEF0,M,3,TRN,02/12/86,11/04/52,"5'11""",WHT,PHD,33.27,180.34
32,BGT0,M,5,TRN,02/21/86,03/22/58,"5'10""",WHT,BS,27.92,177.8
33,BJK0,M,2,TST,01/29/86,10/02/61,"6'3""",WHT,BS,24.33,190.5
34,BJL0,F,5,TRN,03/26/86,09/17/62,"5'07""",WHT,BS,23.52,170.18
35,BJV0,M,2,TRN,02/05/86,09/25/61,"6'0""",WHT,BS,24.36,182.88
36,BLV0,F,7,TRN,04/29/86,12/14/58,"5'8""",WHT,MS,27.37,172.72
37,BMA0,M,4,TRN,02/04/86,10/08/41,"6'3""",WHT,PHD,44.33,190.5
38,BMA1,M,6,TRN,04/02/86,08/16/54,"6'02""",WHT,BS,31.63,187.96
39,BMH0,F,5,TRN,01/23/86,02/26/46,"5'6""",WHT,HS,39.91,167.64
40,BMJ0,F,4,TRN,01/24/86,05/23/40,"5'3""",WHT,HS,45.67,160.02
41,BML0,M,7,TRN,01/28/86,08/28/59,"6'2""",WHT,BS,26.42,187.96
42,BNS0,M,4,TST,02/03/86,09/22/56,"5'11""",WHT,MS,29.37,180.34
43,BOM0,M,7,TRN,04/16/86,07/30/59,"5'10""",WHT,BS,26.71,177.8
44,BPM0,M,5,TST,04/01/86,08/21/60,"5'09""",WHT,MS,25.61,175.26
